month,date,hour,R-value [m2k/w],Stories,Weighted temp. setpoint [C],Weighted RH%,Solar irradiation [w/m2],Outside temp. [C],Outside RH%,Heating Load [kwh],Cooling load [kwh]
1,1,1,3.6,28,19,62,0,-15,52,485.33,16.8
1,1,2,4.3,27,16,66,0,-14,52,367.70,21.6
1,1,3,3.9,23,18,76,0,-13,52,353.61,23
1,1,4,4.1,20,19,63,0,-12,52,289.95,24
1,1,5,4.3,27,16,63,0,-11,52,348.11,37.8
1,1,6,3.4,12,17,60,0,-10,52,195.25,19.2
1,1,7,3.6,16,17,74,0.15,-6,52,217.24,38.4
1,1,8,3.5,22,21,67,0.18,-5,52,320.57,57.2
1,1,9,4.1,30,22,66,0.21,-3,52,361.17,90
1,1,10,4.0,13,24,79,0.24,-1,52,160.16,44.2
1,1,11,3.7,4,22,76,0.27,-1,52,50.34,13.6
1,1,12,4.0,25,22,65,0.3,-2,52,290.75,80
1,1,13,3.7,4,24,63,0.27,-4,52,55.18,11.2
1,1,14,4.2,12,22,79,0.24,-4,52,143.66,33.6
1,1,15,3.3,1,22,71,0.21,-5,52,15.62,2.6
1,1,16,3.7,28,23,63,0.18,-6,52,407.44,67.2
1,1,17,3.5,2,23,77,0.15,-7,52,32.00,4.4
1,1,18,4.3,7,23,74,0,-8,52,97.48,14
1,1,19,3.5,29,23,79,0,-10,52,514.38,46.4
1,1,20,3.6,15,18,69,0,-12,52,244.50,18
1,1,21,3.6,8,17,64,0,-12,52,127.73,9.6
1,1,22,4.1,21,18,76,0,-14,52,312.23,16.8
1,1,23,3.8,5,19,77,0,-14,52,81.58,4
1,1,24,3.4,19,19,67,0,-14,52,344.24,15.2
1,2,1,3.9,15,16,78,0,-15,52,230.92,9
1,2,2,3.9,26,16,61,0,-14,52,389.07,20.8
1,2,3,4.3,23,19,74,0,-13,52,325.64,23
1,2,4,4.2,16,18,72,0,-12,52,224.00,19.2
1,2,5,4.1,11,19,75,0,-11,52,158.08,15.4
1,2,6,3.8,8,17,66,0,-10,52,116.97,12.8
1,2,7,3.6,14,18,77,0.15,-6,52,194.44,33.6
1,2,8,4.3,28,22,66,0.18,-5,52,338.34,72.8
1,2,9,3.4,12,20,67,0.21,-3,52,167.29,36
1,2,10,4.3,23,21,73,0.24,-1,52,246.26,78.2
1,2,11,4.1,2,24,75,0.27,-1,52,23.67,6.8
1,2,12,3.6,30,20,76,0.3,-2,52,374.67,96
1,2,13,3.5,24,23,70,0.27,-4,52,345.05,67.2
1,2,14,3.3,30,24,67,0.24,-4,52,470.91,84
1,2,15,4.3,20,21,78,0.21,-5,52,236.47,52
1,2,16,4.3,7,20,70,0.18,-6,52,83.22,16.8
1,2,17,3.6,4,22,76,0.15,-7,52,61.07,8.8
1,2,18,3.6,23,23,68,0,-8,52,381.03,46
1,2,19,3.5,5,20,74,0,-10,52,84.11,8
1,2,20,3.3,23,16,64,0,-12,52,393.65,27.6
1,2,21,4.0,13,18,80,0,-12,52,192.14,15.6
1,2,22,3.7,30,19,64,0,-14,52,498.49,24
1,2,23,3.7,25,16,68,0,-14,52,396.22,20
1,2,24,4.1,30,18,68,0,-14,52,443.71,24
1,3,1,3.9,13,16,71,0,-15,52,199.20,7.8
1,3,2,3.8,11,19,69,0,-14,52,178.55,8.8
1,3,3,4.2,20,18,75,0,-13,52,285.33,20
1,3,4,3.9,23,16,78,0,-12,52,336.39,27.6
1,3,5,3.6,20,17,66,0,-11,52,314.22,28
1,3,6,3.8,10,19,70,0,-10,52,151.89,16
1,3,7,3.9,14,16,65,0.15,-6,52,170.58,33.6
1,3,8,3.6,15,23,77,0.18,-5,52,222.50,39
1,3,9,4.0,4,22,73,0.21,-3,52,49.64,12
1,3,10,3.4,24,20,75,0.24,-1,52,318.49,81.6
1,3,11,3.5,12,24,66,0.27,-1,52,165.12,40.8
