month,date,hour,R-value [m2k/w],Stories,Weighted temp. setpoint [C],Weighted RH%,Solar irradiation [w/m2],Outside temp. [C],Outside RH%,Heating (Malfunctioning Sensor),Cooling load [kwh],
1,1,1,3.5,29,16,66,0,-15,52,493.50,17.4,
1,1,2,4.0,23,16,73,0,-14,52,338.33,18.4,
1,1,3,4.2,14,17,60,0,-13,52,194.40,14,
1,1,4,4.3,12,17,74,0,-12,52,161.53,14.4,
1,1,5,4.1,16,19,80,0,-11,52,230.71,22.4,
1,1,6,3.7,11,16,78,0,-10,52,163.63,17.6,
1,1,7,4.0,28,18,71,0.15,-6,52,348.32,67.2,
1,1,8,3.8,14,20,77,0.18,-5,52,185.68,36.4,
1,1,9,4.3,19,23,70,0.21,-3,52,223.23,57,
1,1,10,3.6,1,20,69,0.24,-1,52,12.47,3.4,
1,1,11,3.5,5,21,66,0.27,-1,52,64.51,17,
1,1,12,3.3,8,21,73,0.3,-2,52,111.13,25.6,
1,1,13,3.4,12,20,60,0.27,-4,52,165.60,33.6,
1,1,14,3.6,15,22,70,0.24,-4,52,208.00,42,
1,1,15,3.5,17,24,66,0.21,-5,52,259.18,44.2,
1,1,16,3.9,18,24,65,0.18,-6,52,253.48,43.2,
1,1,17,3.8,8,22,76,0.15,-7,52,115.71,17.6,
1,1,18,3.7,16,22,65,0,-8,52,253.06,32,
1,1,19,3.6,27,24,62,0,-10,52,468.00,43.2,
1,1,20,3.9,19,18,62,0,-12,52,284.51,22.8,
1,1,21,4.1,9,19,72,0,-12,52,131.27,10.8,
1,1,22,3.5,12,16,64,0,-14,52,200.50,9.6,
1,1,23,3.9,25,18,72,0,-14,52,389.74,20,
1,1,24,3.9,28,18,77,0,-14,52,437.95,22.4,
1,2,1,3.8,7,16,80,0,-15,52,110.75,4.2,
1,2,2,3.3,7,19,63,0,-14,52,130.33,5.6,
1,2,3,3.6,27,17,61,0,-13,52,437.70,27,
1,2,4,4.3,27,18,64,0,-12,52,367.20,32.4,
1,2,5,4.1,28,18,64,0,-11,52,392.55,39.2,
1,2,6,3.7,17,16,61,0,-10,52,249.76,27.2,
1,2,7,3.7,27,17,72,0.15,-6,52,356.11,64.8,
1,2,8,4.0,14,22,65,0.18,-5,52,181.72,36.4,
1,2,9,3.7,14,21,70,0.21,-3,52,183.59,42,
1,2,10,4.0,5,22,75,0.24,-1,52,58.90,17,
1,2,11,3.8,7,22,69,0.27,-1,52,85.25,23.8,
1,2,12,4.0,16,21,64,0.3,-2,52,181.92,51.2,
1,2,13,4.2,2,20,70,0.27,-4,52,22.53,5.6,
1,2,14,3.6,13,20,70,0.24,-4,52,173.04,36.4,
1,2,15,4.1,6,21,74,0.21,-5,52,74.17,15.6,
