Building Name,Building Volume [m^3],Building Type,month,date,hour,Weighted temp. setpoint [C],Solar irradiation normal [w/m2],Solar irradiation horizontal [w/m2],Outside temp. [C],Location,Relative Humidity,Heating Load [kwh],Cooling load [kwh]
A,766,Glass,4,1,1,16,0,0,-6,X,67,205.59,33.704
B,980,Steel,4,1,2,19,0,0,-4,Y,75,269.5,45.08
C,892,Concrete,4,1,3,18,0,0,-2,Z,80,232.81,35.68
D,741,Wood,4,1,4,16,0,0,-2,W,63,183.47,26.676
A,979,Glass,4,1,5,19,0,0,0,X,62,247.1,37.202
B,954,Steel,4,1,6,16,0,0,1,Y,80,225.14,28.62
C,607,Concrete,4,1,7,18,0.174,0.029,2,Z,72,134.58,19.424
D,586,Wood,4,1,8,22,0.204,0.034,4,W,62,132.82,21.096
A,700,Glass,4,1,9,21,0.234,0.039,6,X,74,147.71,21
B,642,Steel,4,1,10,20,0.264,0.044,8,Y,64,122.6,15.408
C,921,Concrete,4,1,11,24,0.294,0.049,10,Z,75,184.3,25.788
D,985,Wood,4,1,12,22,0.324,0.054,13,W,67,167.9,17.73
A,594,Glass,4,1,13,23,0.294,0.049,14,X,79,104.49,10.692
B,591,Steel,4,1,14,24,0.264,0.044,14,Y,74,108.13,11.82
C,595,Concrete,4,1,15,21,0.234,0.039,13,Z,78,105.2,9.52
D,614,Wood,4,1,16,24,0.204,0.034,12,W,71,121.85,14.736
A,845,Glass,4,1,17,22,0.174,0.029,10,X,67,169.6,20.28
B,732,Steel,4,1,18,23,0,0,8,Y,66,170.7,21.96
C,867,Concrete,4,1,19,22,0,0,6,Z,69,207.04,27.744
D,568,Wood,4,1,20,19,0,0,3,W,80,136.89,18.176
A,991,Glass,4,1,21,19,0,0,0,X,77,253.1,37.658
B,661,Steel,4,1,22,19,0,0,-2,Y,73,174.9,27.762
C,727,Concrete,4,1,23,18,0,0,-3,Z,65,191.2,30.534
D,891,Wood,4,1,24,19,0,0,-5,W,77,249.84,42.768
A,517,Glass,4,2,1,17,0,0,-6,X,71,141.76,23.782
B,821,Steel,4,2,2,16,0,0,-4,Y,65,211.82,32.84
C,694,Concrete,4,2,3,19,0,0,-2,Z,74,183.77,29.148
D,855,Wood,4,2,4,19,0,0,-2,W,64,224.69,35.91
A,524,Glass,4,2,5,17,0,0,0,X,75,128.38,17.816
B,848,Steel,4,2,6,18,0,0,1,Y,69,206.74,28.832
C,618,Concrete,4,2,7,18,0.174,0.029,2,Z,78,137.76,19.776
D,528,Wood,4,2,8,24,0.204,0.034,4,W,67,125.48,21.12
A,903,Glass,4,2,9,20,0.234,0.039,6,X,60,183.5,25.284
B,947,Steel,4,2,10,20,0.264,0.044,8,Y,73,182.54,22.728
C,649,Concrete,4,2,11,23,0.294,0.049,10,Z,79,127.15,16.874
D,967,Wood,4,2,12,22,0.324,0.054,13,W,72,165.8,17.406
A,518,Glass,4,2,13,20,0.294,0.049,14,X,80,83.45,6.216
B,878,Steel,4,2,14,24,0.264,0.044,14,Y,61,158.36,17.56
C,662,Concrete,4,2,15,23,0.234,0.039,13,Z,66,122.08,13.24
D,636,Wood,4,2,16,23,0.204,0.034,12,W,60,121.64,13.992
A,859,Glass,4,2,17,20,0.174,0.029,10,X,68,163.99,17.18
B,557,Steel,4,2,18,20,0,0,8,Y,66,121.54,13.368
C,874,Concrete,4,2,19,20,0,0,6,Z,62,198.75,24.472
D,658,Wood,4,2,20,17,0,0,3,W,64,149.89,18.424
A,631,Glass,4,2,21,16,0,0,0,X,69,150.68,20.192
B,685,Steel,4,2,22,17,0,0,-2,Y,61,172.76,26.03
C,794,Concrete,4,2,23,19,0,0,-3,Z,69,213.43,34.936
